transaction_id,ledger_entry_id,amount,ledger_status,created_at,settlement_date,reconciliation_status
TXN00024,LEDG_TXN00024,1200.0,POSTED,2026-09-02T14:44:57,2026-09-02,MATCHED
TXN00025,LEDG_TXN00025,999.0,POSTED,2026-08-28T18:47:15,2026-08-28,MATCHED
TXN00026,LEDG_TXN00026,4999.0,POSTED,2026-09-03T14:08:43,2026-09-03,MATCHED
TXN00027,LEDG_TXN00027,499.0,POSTED,2026-08-29T15:42:53,2026-08-29,MATCHED
TXN00028,LEDG_TXN00028,1200.0,POSTED,2026-09-04T19:01:44,2026-09-04,MATCHED
TXN00029,LEDG_TXN00029,15000.0,POSTED,2026-08-30T16:08:59,2026-08-30,MATCHED
TXN00030,LEDG_TXN00030,999.0,POSTED,2026-09-02T13:52:33,2026-09-02,MATCHED
TXN00031,LEDG_TXN00031,2499.0,POSTED,2026-08-30T20:19:43,2026-08-30,MATCHED
TXN00032,LEDG_TXN00032,8900.0,POSTED,2026-08-27T13:36:58,2026-08-27,MATCHED
TXN00033,LEDG_TXN00033,250.0,POSTED,2026-08-29T18:05:23,2026-08-29,MATCHED
TXN00034,LEDG_TXN00034,4999.0,POSTED,2026-09-01T17:35:40,2026-09-01,MATCHED
TXN00036,LEDG_TXN00036,6500.0,POSTED,2026-09-04T20:48:10,2026-09-04,MATCHED
TXN00037,LEDG_TXN00037,8900.0,POSTED,2026-08-28T11:36:37,2026-08-28,MATCHED
TXN00038,LEDG_TXN00038,250.0,POSTED,2026-08-30T12:29:06,2026-08-30,MATCHED
TXN00040,LEDG_TXN00040,999.0,POSTED,2026-09-01T09:05:13,2026-09-01,MATCHED
TXN00041,LEDG_TXN00041,8900.0,POSTED,2026-09-02T17:08:02,2026-09-02,MATCHED
TXN00042,LEDG_TXN00042,4999.0,POSTED,2026-09-01T18:30:00,2026-09-01,MATCHED
TXN00043,LEDG_TXN00043,250.0,POSTED,2026-09-04T20:39:47,2026-09-04,MATCHED
TXN00044,LEDG_TXN00044,8900.0,POSTED,2026-09-04T09:49:11,2026-09-04,MATCHED
TXN00045,LEDG_TXN00045,4999.0,POSTED,2026-08-31T21:31:54,2026-08-31,MATCHED
TXN00046,LEDG_TXN00046,4999.0,POSTED,2026-08-27T18:24:09,2026-08-27,MATCHED
TXN00047,LEDG_TXN00047,499.0,POSTED,2026-09-03T14:08:49,2026-09-03,MATCHED
TXN00048,LEDG_TXN00048,12000.0,POSTED,2026-08-30T14:41:02,2026-08-30,MATCHED
TXN00049,LEDG_TXN00049,999.0,POSTED,2026-09-01T14:20:08,2026-09-01,MATCHED
TXN00050,LEDG_TXN00050,999.0,POSTED,2026-09-03T20:22:36,2026-09-03,MATCHED
TXN00051,LEDG_TXN00051,4999.0,POSTED,2026-08-30T20:13:57,2026-08-30,MATCHED
TXN00052,LEDG_TXN00052,3500.0,POSTED,2026-08-27T17:27:51,2026-08-27,MATCHED
TXN00053,LEDG_TXN00053,999.0,POSTED,2026-08-30T16:06:35,2026-08-30,MATCHED
TXN00054,LEDG_TXN00054,3500.0,POSTED,2026-09-04T09:02:16,2026-09-04,MATCHED
TXN00055,LEDG_TXN00055,999.0,POSTED,2026-09-01T18:43:12,2026-09-01,MATCHED
TXN00056,LEDG_TXN00056,6500.0,POSTED,2026-08-27T19:55:35,2026-08-27,MATCHED
TXN00057,LEDG_TXN00057,499.0,POSTED,2026-09-03T20:05:48,2026-09-03,MATCHED
TXN00058,LEDG_TXN00058,2499.0,POSTED,2026-08-29T15:20:39,2026-08-29,MATCHED
TXN00059,LEDG_TXN00059,1500.0,POSTED,2026-09-04T12:40:03,2026-09-04,MATCHED
TXN00060,LEDG_TXN00060,6500.0,POSTED,2026-08-31T12:44:14,2026-08-31,MATCHED
TXN00061,LEDG_TXN00061,8900.0,POSTED,2026-09-02T11:29:23,2026-09-02,MATCHED
TXN00062,LEDG_TXN00062,6500.0,POSTED,2026-08-28T11:27:28,2026-08-28,MATCHED
TXN00063,LEDG_TXN00063,6500.0,POSTED,2026-09-02T15:14:01,2026-09-02,MATCHED
TXN00064,LEDG_TXN00064,1200.0,POSTED,2026-08-27T15:44:45,2026-08-27,MATCHED
TXN00065,LEDG_TXN00065,15000.0,POSTED,2026-08-27T10:21:03,2026-08-27,MATCHED
TXN00066,LEDG_TXN00066,6500.0,POSTED,2026-08-29T21:06:55,2026-08-29,MATCHED
TXN00067,LEDG_TXN00067,3500.0,POSTED,2026-08-30T12:27:26,2026-08-30,MATCHED
TXN00068,LEDG_TXN00068,1500.0,POSTED,2026-08-31T18:13:23,2026-08-31,MATCHED
TXN00069,LEDG_TXN00069,3500.0,POSTED,2026-08-31T14:57:08,2026-08-31,MATCHED
TXN00070,LEDG_TXN00070,2499.0,POSTED,2026-08-30T16:55:17,2026-08-30,MATCHED
TXN00071,LEDG_TXN00071,6500.0,POSTED,2026-08-28T09:57:53,2026-08-28,MATCHED
TXN00072,LEDG_TXN00072,6500.0,POSTED,2026-08-29T12:57:29,2026-08-29,MATCHED
TXN00073,LEDG_TXN00073,2499.0,POSTED,2026-09-02T17:10:48,2026-09-02,MATCHED
TXN00074,LEDG_TXN00074,999.0,POSTED,2026-08-31T17:12:41,2026-08-31,MATCHED
TXN00075,LEDG_TXN00075,6500.0,POSTED,2026-08-31T10:29:24,2026-08-31,MATCHED
TXN00076,LEDG_TXN00076,1500.0,POSTED,2026-08-27T20:49:53,2026-08-27,MATCHED
TXN00077,LEDG_TXN00077,499.0,POSTED,2026-09-01T16:41:35,2026-09-01,MATCHED
TXN00078,LEDG_TXN00078,6500.0,POSTED,2026-08-29T20:41:04,2026-08-29,MATCHED
TXN00079,LEDG_TXN00079,8900.0,POSTED,2026-08-28T13:12:21,2026-08-28,DISCREPANCY
TXN00080,LEDG_TXN00080,6500.0,POSTED,2026-09-01T13:34:01,2026-09-01,MATCHED
TXN00081,LEDG_TXN00081,250.0,POSTED,2026-08-29T19:45:53,2026-08-29,MATCHED
TXN00082,LEDG_TXN00082,499.0,POSTED,2026-08-29T20:03:41,2026-08-29,MATCHED
TXN00083,LEDG_TXN00083,2499.0,POSTED,2026-08-27T12:18:57,2026-08-27,MATCHED
TXN00084,LEDG_TXN00084,6500.0,POSTED,2026-08-29T17:02:04,2026-08-29,MATCHED
TXN00085,LEDG_TXN00085,3500.0,POSTED,2026-09-03T19:38:34,2026-09-03,MATCHED
TXN00086,LEDG_TXN00086,15000.0,POSTED,2026-09-02T15:16:06,2026-09-02,MATCHED
TXN00087,LEDG_TXN00087,250.0,POSTED,2026-09-03T12:03:09,2026-09-03,MATCHED
TXN00088,LEDG_TXN00088,12000.0,POSTED,2026-08-31T18:29:48,2026-08-31,MATCHED
TXN00089,LEDG_TXN00089,2499.0,POSTED,2026-08-30T17:23:27,2026-08-30,MATCHED
TXN00090,LEDG_TXN00090,6500.0,POSTED,2026-08-29T18:23:33,2026-08-29,MATCHED
TXN00091,LEDG_TXN00091,3500.0,POSTED,2026-09-04T20:53:32,2026-09-04,MATCHED
TXN00092,LEDG_TXN00092,499.0,POSTED,2026-09-01T20:31:27,2026-09-01,MATCHED
TXN00093,LEDG_TXN00093,2499.0,POSTED,2026-08-30T19:08:16,2026-08-30,MATCHED
TXN00094,LEDG_TXN00094,6500.0,POSTED,2026-08-31T08:22:00,2026-08-31,MATCHED
TXN00095,LEDG_TXN00095,3500.0,POSTED,2026-08-29T15:38:36,2026-08-29,MATCHED
TXN00096,LEDG_TXN00096,8900.0,POSTED,2026-09-01T09:47:29,2026-09-01,MATCHED
TXN00097,LEDG_TXN00097,1500.0,POSTED,2026-09-04T14:45:46,2026-09-04,MATCHED
TXN00098,LEDG_TXN00098,2499.0,POSTED,2026-08-30T20:29:11,2026-08-30,MATCHED
TXN00099,LEDG_TXN00099,1500.0,POSTED,2026-08-28T15:17:42,2026-08-28,MATCHED
TXN00100,LEDG_TXN00100,1500.0,POSTED,2026-08-30T20:37:56,2026-08-30,MATCHED
TXN00101,LEDG_TXN00101,6500.0,POSTED,2026-09-03T17:39:04,2026-09-03,MATCHED
TXN00102,LEDG_TXN00102,4999.0,POSTED,2026-09-01T14:34:04,2026-09-01,MATCHED
TXN00103,LEDG_TXN00103,2499.0,POSTED,2026-08-27T18:08:51,2026-08-27,MATCHED
TXN00104,LEDG_TXN00104,1500.0,POSTED,2026-08-31T14:23:22,2026-08-31,MATCHED
TXN00105,LEDG_TXN00105,12000.0,POSTED,2026-09-02T17:17:30,2026-09-02,MATCHED
TXN00106,LEDG_TXN00106,15000.0,POSTED,2026-08-29T08:19:41,2026-08-29,MATCHED
TXN00107,LEDG_TXN00107,6500.0,POSTED,2026-09-04T13:58:21,2026-09-04,MATCHED
TXN00108,LEDG_TXN00108,999.0,POSTED,2026-08-31T19:15:54,2026-08-31,MATCHED
TXN00109,LEDG_TXN00109,1500.0,POSTED,2026-09-02T11:01:48,2026-09-02,MATCHED
TXN00110,LEDG_TXN00110,1500.0,POSTED,2026-08-29T20:22:27,2026-08-29,MATCHED
TXN00111,LEDG_TXN00111,250.0,POSTED,2026-09-02T17:03:42,2026-09-02,MATCHED
TXN00112,LEDG_TXN00112,250.0,POSTED,2026-09-03T11:13:05,2026-09-03,MATCHED
TXN00113,LEDG_TXN00113,250.0,POSTED,2026-08-31T10:59:30,2026-08-31,MATCHED
TXN00114,LEDG_TXN00114,8900.0,POSTED,2026-08-29T11:35:25,2026-08-29,MATCHED
TXN00115,LEDG_TXN00115,1200.0,POSTED,2026-08-28T08:22:58,2026-08-28,MATCHED
TXN00116,LEDG_TXN00116,250.0,POSTED,2026-09-01T09:28:11,2026-09-01,MATCHED
TXN00117,LEDG_TXN00117,6500.0,POSTED,2026-08-30T17:13:21,2026-08-30,MATCHED
TXN00118,LEDG_TXN00118,1500.0,POSTED,2026-09-04T09:07:22,2026-09-04,MATCHED
TXN00119,LEDG_TXN00119,4999.0,POSTED,2026-08-30T17:03:21,2026-08-30,MATCHED
TXN00120,LEDG_TXN00120,1500.0,POSTED,2026-08-29T12:02:29,2026-08-29,MATCHED
TXN00121,LEDG_TXN00121,1200.0,POSTED,2026-08-31T10:37:17,2026-08-31,MATCHED
TXN00122,LEDG_TXN00122,999.0,POSTED,2026-08-29T21:07:13,2026-08-29,MATCHED
TXN00123,LEDG_TXN00123,999.0,POSTED,2026-08-31T13:15:52,2026-08-31,MATCHED
TXN00124,LEDG_TXN00124,2499.0,POSTED,2026-08-31T18:20:13,2026-08-31,MATCHED
TXN00125,LEDG_TXN00125,12000.0,POSTED,2026-08-30T09:22:00,2026-08-30,MATCHED
TXN00126,LEDG_TXN00126,15000.0,POSTED,2026-09-03T20:54:06,2026-09-03,MATCHED
TXN00127,LEDG_TXN00127,3500.0,POSTED,2026-09-03T10:25:28,2026-09-03,MATCHED
TXN00128,LEDG_TXN00128,4999.0,POSTED,2026-08-27T17:02:52,2026-08-27,MATCHED
TXN00129,LEDG_TXN00129,999.0,POSTED,2026-09-04T18:10:57,2026-09-04,MATCHED
TXN00130,LEDG_TXN00130,12000.0,POSTED,2026-08-29T14:51:56,2026-08-29,MATCHED
TXN00131,LEDG_TXN00131,6500.0,POSTED,2026-09-02T12:38:06,2026-09-02,MATCHED
TXN00132,LEDG_TXN00132,250.0,POSTED,2026-08-28T10:58:53,2026-08-28,MATCHED
TXN00133,LEDG_TXN00133,2499.0,POSTED,2026-09-04T08:38:56,2026-09-04,MATCHED
TXN00134,LEDG_TXN00134,15000.0,POSTED,2026-09-03T12:05:59,2026-09-03,MATCHED
TXN00135,LEDG_TXN00135,3500.0,POSTED,2026-08-30T09:31:06,2026-08-30,MATCHED
TXN00136,LEDG_TXN00136,1200.0,POSTED,2026-09-01T10:53:34,2026-09-01,MATCHED
TXN00137,LEDG_TXN00137,15000.0,POSTED,2026-08-28T14:16:11,2026-08-28,MATCHED
TXN00138,LEDG_TXN00138,250.0,POSTED,2026-08-28T14:27:39,2026-08-28,MATCHED
TXN00139,LEDG_TXN00139,15000.0,POSTED,2026-09-02T10:11:31,2026-09-02,MATCHED
TXN00140,LEDG_TXN00140,12000.0,POSTED,2026-08-28T18:53:04,2026-08-28,MATCHED
TXN00141,LEDG_TXN00141,7500.0,POSTED,2026-08-28T12:54:08,2026-08-28,MATCHED
TXN00142,LEDG_TXN00142,1200.0,POSTED,2026-08-27T13:29:56,2026-08-27,MATCHED
TXN00143,LEDG_TXN00143,15000.0,POSTED,2026-08-29T12:47:31,2026-08-29,MATCHED
TXN00144,LEDG_TXN00144,1500.0,POSTED,2026-08-30T08:50:14,2026-08-30,MATCHED
TXN00145,LEDG_TXN00145,4999.0,POSTED,2026-08-27T18:24:34,2026-08-27,MATCHED
TXN00146,LEDG_TXN00146,4999.0,POSTED,2026-09-02T17:05:24,2026-09-02,MATCHED
TXN00147,LEDG_TXN00147,1200.0,POSTED,2026-09-01T12:27:30,2026-09-01,MATCHED
TXN00148,LEDG_TXN00148,6500.0,POSTED,2026-08-29T20:50:32,2026-08-29,MATCHED
TXN00149,LEDG_TXN00149,2499.0,POSTED,2026-08-27T20:55:31,2026-08-27,MATCHED
TXN00150,LEDG_TXN00150,3500.0,POSTED,2026-09-02T11:18:24,2026-09-02,MATCHED
TXN00151,LEDG_TXN00151,499.0,POSTED,2026-08-31T15:15:08,2026-08-31,MATCHED
TXN00152,LEDG_TXN00152,1500.0,POSTED,2026-09-03T08:51:34,2026-09-03,MATCHED
TXN00153,LEDG_TXN00153,15000.0,POSTED,2026-09-04T12:09:16,2026-09-04,MATCHED
TXN00154,LEDG_TXN00154,12000.0,POSTED,2026-09-04T15:41:37,2026-09-04,MATCHED
TXN00156,LEDG_TXN00156,6500.0,POSTED,2026-08-28T09:46:36,2026-08-28,MATCHED
TXN00157,LEDG_TXN00157,4999.0,POSTED,2026-09-01T18:21:49,2026-09-01,MATCHED
TXN00158,LEDG_TXN00158,1500.0,POSTED,2026-09-02T11:04:45,2026-09-02,MATCHED
TXN00159,LEDG_TXN00159,4999.0,POSTED,2026-09-04T20:55:37,2026-09-04,MATCHED
TXN00160,LEDG_TXN00160,499.0,POSTED,2026-08-27T08:36:46,2026-08-27,MATCHED
TXN00161,LEDG_TXN00161,1200.0,POSTED,2026-08-28T14:05:28,2026-08-28,MATCHED
TXN00162,LEDG_TXN00162,2499.0,POSTED,2026-09-01T09:20:47,2026-09-01,MATCHED
TXN00163,LEDG_TXN00163,15000.0,POSTED,2026-08-31T08:41:17,2026-08-31,MATCHED
TXN00164,LEDG_TXN00164,6500.0,POSTED,2026-08-28T20:21:56,2026-08-28,MATCHED
TXN00165,LEDG_TXN00165,12000.0,POSTED,2026-08-28T12:29:07,2026-08-28,MATCHED
TXN00166,LEDG_TXN00166,6500.0,POSTED,2026-08-29T18:03:44,2026-08-29,MATCHED
TXN00167,LEDG_TXN00167,499.0,POSTED,2026-09-04T09:15:33,2026-09-04,MATCHED
TXN00168,LEDG_TXN00168,1200.0,POSTED,2026-08-29T21:02:11,2026-08-29,MATCHED
TXN00169,LEDG_TXN00169,4999.0,POSTED,2026-08-29T09:02:30,2026-08-29,MATCHED
TXN00170,LEDG_TXN00170,499.0,POSTED,2026-08-28T09:01:13,2026-08-28,MATCHED
TXN00171,LEDG_TXN00171,4999.0,POSTED,2026-08-27T08:22:24,2026-08-27,MATCHED
TXN00172,LEDG_TXN00172,3500.0,POSTED,2026-08-29T20:51:43,2026-08-29,MATCHED
TXN00173,LEDG_TXN00173,499.0,POSTED,2026-09-02T19:44:08,2026-09-02,MATCHED
TXN00174,LEDG_TXN00174,1200.0,POSTED,2026-08-28T11:44:00,2026-08-28,MATCHED
TXN00175,LEDG_TXN00175,4999.0,POSTED,2026-08-31T17:03:36,2026-08-31,MATCHED
TXN00176,LEDG_TXN00176,250.0,POSTED,2026-08-30T14:16:17,2026-08-30,MATCHED
TXN00177,LEDG_TXN00177,499.0,POSTED,2026-08-31T12:42:12,2026-08-31,MATCHED
TXN00178,LEDG_TXN00178,250.0,POSTED,2026-08-31T17:11:32,2026-08-31,MATCHED
TXN00179,LEDG_TXN00179,6500.0,POSTED,2026-08-28T20:34:16,2026-08-28,MATCHED
TXN00180,LEDG_TXN00180,999.0,POSTED,2026-09-01T12:12:34,2026-09-01,MATCHED
TXN00181,LEDG_TXN00181,12000.0,POSTED,2026-08-30T15:25:48,2026-08-30,MATCHED
TXN00182,LEDG_TXN00182,499.0,POSTED,2026-08-31T14:54:26,2026-08-31,MATCHED
TXN00183,LEDG_TXN00183,999.0,POSTED,2026-08-27T15:06:27,2026-08-27,MATCHED
TXN00184,LEDG_TXN00184,6500.0,POSTED,2026-09-01T09:05:56,2026-09-01,MATCHED
TXN00185,LEDG_TXN00185,6500.0,POSTED,2026-08-30T17:21:50,2026-08-30,MATCHED
TXN00186,LEDG_TXN00186,499.0,POSTED,2026-09-02T19:43:45,2026-09-02,MATCHED
TXN00187,LEDG_TXN00187,2499.0,POSTED,2026-09-02T14:41:34,2026-09-02,MATCHED
TXN00188,LEDG_TXN00188,499.0,POSTED,2026-09-03T11:35:30,2026-09-03,MATCHED
TXN00189,LEDG_TXN00189,4999.0,POSTED,2026-09-04T13:05:11,2026-09-04,MATCHED
TXN00190,LEDG_TXN00190,499.0,POSTED,2026-08-31T13:57:12,2026-08-31,MATCHED
TXN00191,LEDG_TXN00191,8900.0,POSTED,2026-08-28T11:49:09,2026-08-28,MATCHED
TXN00192,LEDG_TXN00192,12000.0,POSTED,2026-08-29T18:13:14,2026-08-29,MATCHED
TXN00193,LEDG_TXN00193,2499.0,POSTED,2026-08-29T14:58:25,2026-08-29,MATCHED
TXN00194,LEDG_TXN00194,4999.0,POSTED,2026-08-27T15:15:13,2026-08-27,MATCHED
TXN00195,LEDG_TXN00195,6500.0,POSTED,2026-09-02T20:54:55,2026-09-02,MATCHED
TXN00196,LEDG_TXN00196,999.0,POSTED,2026-09-02T11:45:29,2026-09-02,MATCHED
TXN00197,LEDG_TXN00197,8900.0,POSTED,2026-08-30T14:13:30,2026-08-30,MATCHED
TXN00198,LEDG_TXN00198,6500.0,POSTED,2026-09-02T15:21:50,2026-09-02,MATCHED
TXN00199,LEDG_TXN00199,3500.0,POSTED,2026-08-31T15:57:14,2026-08-31,MATCHED
TXN00200,LEDG_TXN00200,3500.0,POSTED,2026-08-30T19:47:38,2026-08-30,MATCHED
TXN00201,LEDG_TXN00201,4999.0,POSTED,2026-09-04T19:45:02,2026-09-04,MATCHED
TXN00202,LEDG_TXN00202,2499.0,POSTED,2026-09-02T10:20:10,2026-09-02,MATCHED
TXN00203,LEDG_TXN00203,3500.0,POSTED,2026-09-02T15:22:00,2026-09-02,MATCHED
TXN00204,LEDG_TXN00204,15000.0,POSTED,2026-08-30T12:00:21,2026-08-30,MATCHED
TXN00205,LEDG_TXN00205,2499.0,POSTED,2026-08-31T16:00:40,2026-08-31,MATCHED
TXN00206,LEDG_TXN00206,999.0,POSTED,2026-08-28T20:43:43,2026-08-28,MATCHED
TXN00207,LEDG_TXN00207,999.0,POSTED,2026-08-29T10:19:00,2026-08-29,MATCHED
TXN00208,LEDG_TXN00208,3500.0,POSTED,2026-09-04T19:06:52,2026-09-04,MATCHED
TXN00209,LEDG_TXN00209,2499.0,POSTED,2026-09-01T18:06:47,2026-09-01,MATCHED
TXN00210,LEDG_TXN00210,3500.0,POSTED,2026-08-27T13:25:17,2026-08-27,MATCHED
TXN00211,LEDG_TXN00211,250.0,POSTED,2026-08-28T18:00:43,2026-08-28,MATCHED
TXN00213,LEDG_TXN00213,2499.0,POSTED,2026-08-28T20:15:47,2026-08-28,MATCHED
TXN00214,LEDG_TXN00214,1500.0,POSTED,2026-08-31T10:32:45,2026-08-31,MATCHED
TXN00215,LEDG_TXN00215,1200.0,POSTED,2026-08-31T20:41:59,2026-08-31,MATCHED
TXN00216,LEDG_TXN00216,2499.0,POSTED,2026-08-31T12:16:48,2026-08-31,MATCHED
TXN00217,LEDG_TXN00217,4999.0,POSTED,2026-08-29T15:58:37,2026-08-29,MATCHED
TXN00218,LEDG_TXN00218,1500.0,POSTED,2026-08-29T13:51:17,2026-08-29,MATCHED
TXN00219,LEDG_TXN00219,999.0,POSTED,2026-08-27T18:34:28,2026-08-27,MATCHED
TXN00220,LEDG_TXN00220,12000.0,POSTED,2026-08-30T12:56:05,2026-08-30,MATCHED
TXN00221,LEDG_TXN00221,4999.0,POSTED,2026-08-28T08:41:16,2026-08-28,MATCHED
TXN00222,LEDG_TXN00222,999.0,POSTED,2026-08-27T18:08:51,2026-08-27,MATCHED
TXN00223,LEDG_TXN00223,8900.0,POSTED,2026-08-28T12:31:00,2026-08-28,MATCHED
TXN00224,LEDG_TXN00224,999.0,POSTED,2026-08-30T11:27:19,2026-08-30,MATCHED
TXN00225,LEDG_TXN00225,15000.0,POSTED,2026-09-04T08:19:03,2026-09-04,MATCHED
TXN00226,LEDG_TXN00226,6500.0,POSTED,2026-09-02T14:51:11,2026-09-02,MATCHED
TXN00227,LEDG_TXN00227,3500.0,POSTED,2026-08-29T13:08:55,2026-08-29,MATCHED
TXN00228,LEDG_TXN00228,6500.0,POSTED,2026-08-29T17:59:52,2026-08-29,MATCHED
TXN00229,LEDG_TXN00229,2499.0,POSTED,2026-09-04T17:18:12,2026-09-04,MATCHED
TXN00230,LEDG_TXN00230,499.0,POSTED,2026-08-29T15:37:00,2026-08-29,MATCHED
TXN00231,LEDG_TXN00231,1500.0,POSTED,2026-09-03T14:21:05,2026-09-03,MATCHED
TXN00232,LEDG_TXN00232,499.0,POSTED,2026-09-04T09:48:28,2026-09-04,TIMESTAMP_MISMATCH
TXN00233,LEDG_TXN00233,4999.0,POSTED,2026-08-27T15:04:42,2026-08-27,MATCHED
TXN00234,LEDG_TXN00234,8900.0,POSTED,2026-08-30T19:15:24,2026-08-30,MATCHED
TXN00235,LEDG_TXN00235,6500.0,POSTED,2026-08-31T19:00:17,2026-08-31,MATCHED
TXN00236,LEDG_TXN00236,1200.0,POSTED,2026-08-27T09:34:07,2026-08-27,MATCHED
TXN00237,LEDG_TXN00237,499.0,POSTED,2026-09-01T09:46:55,2026-09-01,MATCHED
TXN00238,LEDG_TXN00238,999.0,POSTED,2026-08-30T12:44:01,2026-08-30,MATCHED
TXN00239,LEDG_TXN00239,12000.0,POSTED,2026-08-30T20:06:53,2026-08-30,MATCHED
TXN00240,LEDG_TXN00240,4999.0,POSTED,2026-08-28T15:16:13,2026-08-28,MATCHED
TXN00241,LEDG_TXN00241,15000.0,POSTED,2026-08-29T12:46:23,2026-08-29,MATCHED
TXN00242,LEDG_TXN00242,12000.0,POSTED,2026-09-04T16:02:07,2026-09-04,MATCHED
TXN00243,LEDG_TXN00243,1200.0,POSTED,2026-08-29T19:44:07,2026-08-29,MATCHED
TXN00244,LEDG_TXN00244,15000.0,POSTED,2026-09-03T20:20:42,2026-09-03,MATCHED
TXN00245,LEDG_TXN00245,1200.0,POSTED,2026-08-27T13:30:24,2026-08-27,MATCHED
TXN00246,LEDG_TXN00246,250.0,POSTED,2026-08-29T11:06:47,2026-08-29,MATCHED
TXN00247,LEDG_TXN00247,4999.0,POSTED,2026-08-28T21:09:58,2026-08-28,MATCHED
TXN00248,LEDG_TXN00248,999.0,POSTED,2026-08-30T10:06:24,2026-08-30,MATCHED
TXN00249,LEDG_TXN00249,15000.0,POSTED,2026-08-29T20:10:14,2026-08-29,MATCHED
TXN00250,LEDG_TXN00250,2499.0,POSTED,2026-08-27T08:27:29,2026-08-27,MATCHED
TXN00251,LEDG_TXN00251,250.0,POSTED,2026-08-27T12:57:37,2026-08-27,MATCHED
TXN00252,LEDG_TXN00252,5000.0,POSTED,2026-09-04T15:50:18,2026-09-04,MATCHED
TXN00253,LEDG_TXN00253,4999.0,POSTED,2026-09-01T10:33:01,2026-09-01,MATCHED
TXN00254,LEDG_TXN00254,999.0,POSTED,2026-08-28T09:11:14,2026-08-28,MATCHED
TXN00255,LEDG_TXN00255,250.0,POSTED,2026-08-28T18:58:07,2026-08-28,MATCHED
TXN00256,LEDG_TXN00256,2499.0,POSTED,2026-09-01T08:14:04,2026-09-01,MATCHED
TXN00257,LEDG_TXN00257,1200.0,POSTED,2026-09-03T14:52:15,2026-09-03,MATCHED
TXN00258,LEDG_TXN00258,3500.0,POSTED,2026-09-02T13:00:18,2026-09-02,MATCHED
TXN00259,LEDG_TXN00259,1200.0,POSTED,2026-09-03T10:08:21,2026-09-03,MATCHED
TXN00260,LEDG_TXN00260,250.0,POSTED,2026-08-31T15:39:25,2026-08-31,MATCHED
TXN00261,LEDG_TXN00261,4999.0,POSTED,2026-08-31T15:00:28,2026-08-31,MATCHED
TXN00262,LEDG_TXN00262,999.0,POSTED,2026-08-27T10:32:45,2026-08-27,MATCHED
TXN00263,LEDG_TXN00263,999.0,POSTED,2026-08-30T09:59:53,2026-08-30,MATCHED
TXN00264,LEDG_TXN00264,8900.0,POSTED,2026-08-29T17:28:29,2026-08-29,MATCHED
TXN00265,LEDG_TXN00265,999.0,POSTED,2026-09-01T15:10:47,2026-09-01,MATCHED
TXN00266,LEDG_TXN00266,15000.0,POSTED,2026-09-02T11:49:48,2026-09-02,MATCHED
TXN00268,LEDG_TXN00268,8900.0,POSTED,2026-08-30T14:02:38,2026-08-30,MATCHED
TXN00269,LEDG_TXN00269,1500.0,POSTED,2026-08-29T18:43:07,2026-08-29,MATCHED
